,month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag,state,country
14,202510,12111,"st. lucie, fl",419950.0,0.0059,-0.0324,2975,0.023,0.0771,84.0,0.003,0.1552,752,0.0135,-0.0359,58,0.7059,1.2308,0.013,0.0057,0.0069,950.0,0.0747,0.0626,0.2105,0.0147,0.0011,761.0,-0.0725,0.0375,236.0,0.0004,-0.0316,1756.0,-0.002,-0.0189,524275.0,0.0026,-0.0471,3730,0.0019,0.0689,0.2558,-0.0264,-0.0098,0,Non-State,Non-Nation
15,202510,12059,"holmes, fl",293500.0,-0.0084,0.0716,48,0.0106,-0.0306,77.0,-0.2376,-0.2183,12,0.0,0.0,0,-0.0238,-0.24659999999999999,0.0,0.0,0.0,8.0,0.0,-0.5556,0.1245,0.0191,-0.1433,13.0,-0.1613,1.0,184.0,0.0306,0.061,1781.0,0.0368,0.0681,370428.0,-0.0067,0.0944,60,-0.0476,0.0811,0.2737,-0.0561,0.141,0,Non-State,Non-Nation
16,202510,12045,"gulf, fl",679200.0,-0.0184,-0.0081,359,-0.0503,0.1014,123.0,0.1036,-0.0081,36,-0.0526,0.0588,0,-1.0,-1.0,0.0,-0.0042,-0.0197,76.0,0.0857,0.1875,0.1691,0.0168,0.0111,46.0,-0.2459,-0.0213,368.0,-0.0362,-0.1041,1838.0,0.0014,0.0227,898739.0,-0.0097,-0.059,403,-0.0768,0.0834,0.1283,-0.0333,-0.0161,0,Non-State,Non-Nation
17,202510,12051,"hendry, fl",349200.0,0.0093,-0.0326,273,0.0264,0.1378,77.0,-0.1743,-0.1047,70,0.25,0.5909,12,0.5,-0.6842,0.0303,0.0106,-0.076,88.0,0.0732,1.0,0.2361,0.0252,0.113,45.0,0.0345,-0.4,220.0,0.003,-0.0257,1609.0,0.0276,-0.0317,433178.0,-0.0057,-0.0766,319,0.0324,0.0159,0.1651,0.0013,-0.148,0,Non-State,Non-Nation
18,202510,12115,"sarasota, fl",474500.0,0.005,0.0237,4706,0.0085,0.1325,92.0,-0.1117,0.0281,1366,0.3109,-0.0044,54,-0.1563,0.125,0.0072,-0.0018,0.0001,1484.0,0.1091,0.2045,0.1993,0.0099,0.0164,1354.0,-0.0117,0.1181,275.0,-0.0008,-0.0222,1706.0,0.0003,0.014,969900.0,0.0301,0.1425,6060,0.0044,0.1299,0.2877,-0.0059,-0.0037,0,Non-State,Non-Nation
19,202510,12015,"charlotte, fl",379450.0,0.0012,-0.0248,3553,0.0276,0.1012,100.0,-0.0913,0.0474,808,0.1576,-0.0404,52,0.0833,-0.1034,0.0103,0.0005,-0.002,1134.0,0.1643,0.1912,0.2241,0.0274,0.0216,685.0,-0.1145,0.0729,221.0,0.0021,-0.0586,1725.0,0.0119,0.0174,489797.0,0.0184,0.0124,4219,-0.0019,0.0931,0.1927,-0.0309,-0.0051,0,Non-State,Non-Nation
20,202510,12013,"calhoun, fl",299000.0,-0.0173,0.0084,31,-0.0746,0.0,99.0,-0.1041,0.375,6,2.0,2.0,0,-0.0238,-0.24659999999999999,0.0,0.0,0.0,10.0,0.0,0.6667,0.1941,-0.0255,0.04,10.0,-0.1364,0.7273,144.0,-0.0516,-0.0345,1521.0,-0.0372,-0.2049,328545.0,-0.032,-0.0142,42,-0.0568,0.137,0.3065,-0.0219,0.129,1,Non-State,Non-Nation
21,202510,12009,"brevard, fl",375000.0,-0.0106,-0.0408,4089,-0.0199,0.0358,75.0,0.0067,0.087,1130,0.0162,-0.0191,82,-0.0465,-0.2407,0.0125,-0.0003,-0.0044,1668.0,0.0097,0.0464,0.258,0.0084,0.0079,1288.0,-0.0272,-0.0066,226.0,-0.0089,-0.0322,1737.0,0.0038,-0.0083,495488.0,-0.0066,-0.0343,5356,-0.0205,0.0257,0.315,-0.0024,-0.0134,0,Non-State,Non-Nation
22,202510,12031,"duval, fl",299950.0,-0.0166,-0.0478,4414,-0.0019,0.0613,70.0,0.0072,0.112,1388,-0.0307,-0.1325,88,-0.2143,-0.3529,0.012,-0.0027,-0.0064,2132.0,-0.0028,0.0095,0.2893,0.0093,0.0046,1601.0,-0.0599,-0.0384,189.0,-0.0049,-0.0348,1558.0,-0.0038,-0.0146,421544.0,-0.0237,-0.0254,6006,-0.0188,0.0321,0.3626,-0.0224,-0.0376,0,Non-State,Non-Nation
23,202510,12127,"volusia, fl",372450.0,-0.0068,-0.0132,4573,-0.0333,0.0158,88.0,-0.0358,0.0736,1020,-0.0097,-0.1356,56,-0.2432,-0.0667,0.0084,-0.0022,-0.0004,1538.0,-0.0375,-0.0553,0.2281,-0.001,-0.0104,1109.0,-0.0877,-0.0513,232.0,-0.0099,-0.0494,1607.0,-0.0029,0.0085,486340.0,-0.0127,-0.0325,5657,-0.0456,0.0018,0.2424,-0.0144,-0.0172,0,Non-State,Non-Nation
